Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Education level,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,ISO3
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",348,Hungary,PRIMAR,G,PERCENT,,,75.06577,82.37037,88.82478,97.38937,100,100,100,100,100,100,100,100,100,100,100,,,,,,HUN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",348,Hungary,SECOND,G,PERCENT,,,78.77108,84.20143,89.74242,96.42819,98.51824,98.37187,98.35375,98.34849,98.3329,98.32343,98.32748,98.33244,98.36896,98.64201,98.6881,,,,,,HUN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",348,Hungary,UPPSEC,G,PERCENT,,,88.85609,89.08425,92.12254,94.05797,95,95,95,95,95,95,95,95,95,95,95,,,,,,HUN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",356,India,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,,,,20.51181,24.2224,,IND
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",356,India,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,,,,6.36458,7.89634,,IND
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",356,India,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,,,,32.86267,37.64505,,IND
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",356,India,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,40.18797,46.78207,46.4688,52.36692,58.52298,,IND
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",360,Indonesia,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,,,46.4785,,,,IDN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",360,Indonesia,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,,,61.40284,,,,IDN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",360,Indonesia,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,,85.00128,85.16617,,,,IDN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",364,Iran (Islamic Republic of),LOWSEC,G,PERCENT,,,,,,,,,,,,,25.82508,,,,,,,,,,IRN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",364,Iran (Islamic Republic of),PRIMAR,G,PERCENT,,,,,,,,,,,,,10.55034,,,,,,,,,,IRN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",364,Iran (Islamic Republic of),SECOND,G,PERCENT,,,,,,,,,,,,,36.26206,,,,,,,,,,IRN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",364,Iran (Islamic Republic of),UPPSEC,G,PERCENT,,,,,,,,,,,,,45.26748,,,,,,,,,,IRN
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",376,Israel,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,85,85,85,,,,,,ISR
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",376,Israel,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,85,85,85,,,,,,ISR
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",376,Israel,SECOND,G,PERCENT,,,,,,,,,,,,,,,85,85,85,,,,,,ISR
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",376,Israel,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,85,85,85,,,,,,ISR
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",380,Italy,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,85,,,,,,ITA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",380,Italy,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,70,,,,,,ITA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",380,Italy,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,88.25217,,,,,,ITA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",380,Italy,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,92,,,,,,ITA
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",388,Jamaica,LOWSEC,G,PERCENT,,,,,,,,,,,,,,,,,46.76471,46.76471,,,,,JAM
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",388,Jamaica,PRIMAR,G,PERCENT,,,,,,,,,,,,,,,,,84.40367,84.30699,,78.83295,,,JAM
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",388,Jamaica,SECOND,G,PERCENT,,,,,,,,,,,,,,,,,72.78195,72.78195,,,,,JAM
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",388,Jamaica,UPPSEC,G,PERCENT,,,,,,,,,,,,,,,,,100,100,,91.15282,,,JAM
4,4.a,4.a.1,SE_ACS_INTNT,"Proportion of schools with access to the internet for pedagogical purposes, by education level (%)",400,Jordan,LOWSEC,G,PERCENT,,,,,,,,,,,,80.53279,,,,,,100,100,100,100,,JOR
